Country/Other,Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Anguilla,0,105,-100,0,0,0,0,0.0,15238
Antigua and Barbuda,2,18,-89,20,0,0,0,0.0,99351
Aruba,122,86,42,1134,0,0,0,0.0,107561
Bahamas,56,27,107,140,0,1,-100,0.0,399832
Barbados,1526,834,83,5299,1,2,-50,3.0,287992
Belize,50,85,-41,122,2,0,200,5.0,410279
Bermuda,108,225,-52,1745,1,1,0,16.0,61875
British Virgin Islands,14,37,-62,458,0,0,0,0.0,30584
Canada,59287,44739,33,1547,260,252,3,7.0,38322338
Caribbean Netherlands,662,150,341,24841,2,0,200,75.0,26650
Cayman Islands,0,1173,-100,0,0,2,-100,0.0,67075
Costa Rica,3150,5066,-38,609,30,34,-12,6.0,5175674
Cuba,5149,5816,-11,455,5,3,67,0.4,11314494
Curaçao,454,364,25,2747,0,2,-100,0.0,165270
Dominica,104,42,148,1438,0,1,-100,0.0,72299
Dominican Republic,299,556,-46,27,0,0,0,0.0,11038630
El Salvador,518,0,51800,79,3,4,-25,0.5,6543589
Greenland,0,35,-100,0,0,1,-100,0.0,56943
Grenada,42,46,-9,370,0,1,-100,0.0,113437
Guatemala,6505,7991,-19,352,40,48,-17,2.0,18496400
Haiti,38,20,90,3,0,6,-100,0.0,11646213
Honduras,441,2321,-81,43,9,14,-36,0.9,10180730
Jamaica,165,139,19,55,16,12,33,5.0,2983829
Martinique,0,5534,-100,0,0,4,-100,0.0,374755
Mexico,15319,16067,-5,117,473,658,-28,4.0,131307654
Montserrat,0,1,-100,0,0,0,0,0.0,4997
Nicaragua,69,75,-8,10,1,0,100,0.1,6762727
Panama,1729,1965,-12,390,5,8,-38,1.0,4433824
Saint Kitts and Nevis,0,1,-100,0,0,1,-100,0.0,53859
Saint Lucia,24,50,-52,130,0,0,0,0.0,185099
Saint Martin,195,0,19500,4897,0,0,0,0.0,39822
Sint Maarten,68,57,19,1555,0,1,-100,0.0,43729
St. Barth,370,0,37000,37261,0,0,0,0.0,9930
Trinidad and Tobago,1545,1920,-20,1098,25,22,14,18.0,1407434
Turks and Caicos,22,14,57,555,0,0,0,0.0,39635
USA,182752,203099,-10,546,3321,4601,-28,10.0,334405890
